word_lower	word_cap	alt_caps	examples	source	status	notes
ain	Ain		Rhizomelic dysplasia, Ain-Naz type; Dysostosis multiplex, Ain-Naz type	OMIM	cap	
akhtar	Akhtar		Basilicata-Akhtar syndrome	OMIM	cap	
alacrima	Alacrima		Alacrima, achalasia, and impaired intellectual developmen...	OMIM	lower	
alagille	Alagille		Alagille syndrome 2; Alagille syndrome 1	OMIM	cap	
aland	Aland		Aland Island eye disease	OMIM	cap	
alazami	Alazami		Alazami syndrome; Alazami-Yuan syndrome	OMIM	cap	
albinism	Albinism		Albinism, oculocutaneous, type V; Albinism, oculocutaneous, type IV; Albinism, oculocutaneous, type III	OMIM	lower	
albright	Albright		McCune-Albright syndrome, somatic mosaic	OMIM	cap	
alcohol	Alcohol		Alcohol dependence, susceptibility to; Alcohol dependence, protection against; Alcohol sensitivity, acute	OMIM	lower	
aldosteronism	Aldosteronism		Aldosteronism, glucocorticoid-remediable	OMIM	lower	
aldrich	Aldrich		Wiskott-Aldrich syndrome 2; Wiskott-Aldrich syndrome	OMIM	cap	
alexander	Alexander		Alexander disease	OMIM	cap	
alfadhel	Alfadhel		Alfadhel syndrome	OMIM	cap	
algerian	Algerian		Spondylometaphyseal dysplasia, Algerian type	OMIM	cap	
aliu	Aliu		Hoxha-Aliu syndrome	OMIM	cap	
alkaline	Alkaline		Alkaline phosphatase, plasma level of, QTL 2; Alkaline phosphatase, plasma level of, QTL3; Alkaline phosphatase, plasma level of, QTL1	OMIM	lower	
alkaptonuria	Alkaptonuria		Alkaptonuria	OMIM	lower	
alkuraya	Alkuraya		Alkuraya-Kucinskas syndrome; Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type	OMIM	cap	
allan	Allan		Allan-Herndon-Dudley syndrome	OMIM	cap	
allergic	Allergic		Allergic rhinitis, susceptibility to	OMIM	lower	
almeida	Almeida		Mandibulofacial dysostosis, Guion-Almeida type	OMIM	cap	
almurshedi	Almurshedi		Tan-Almurshedi syndrome	OMIM	cap	
alopecia	Alopecia		Alopecia, androgenetic, 1; Alopecia-intellectual disability syndrome 2; Alopecia-intellectual disability syndrome 1	OMIM	lower	
alpers	Alpers		Mitochondrial DNA depletion syndrome 4A (Alpers type)	OMIM	cap	
alpha	Alpha		Alpha-fetoprotein deficiency; Alpha-methylacyl-CoA racemase deficiency; Alpha-aminoadipic and alpha-ketoadipic aciduria	OMIM	lower	
alport	Alport		Alport syndrome 2, autosomal recessive; Alport syndrome 3A, autosomal dominant; Alport syndrome 3B, autosomal recessive	OMIM	cap	
alsahan	Alsahan		Alsahan-Harris syndrome	OMIM	cap	
alstrom	Alstrom		Alstrom syndrome	OMIM	cap	
alternating	Alternating		Alternating hemiplegia of childhood 1; Alternating hemiplegia of childhood 2	OMIM	lower	
alveolar	Alveolar		Alveolar capillary dysplasia with misalignment of pulmona...; Alveolar soft-part sarcoma	OMIM	lower	
alzahrani	Alzahrani		Alzahrani-Kuwahara syndrome	OMIM	cap	
alzheimer	Alzheimer		Alzheimer disease-13; Alzheimer disease-14; Alzheimer disease-4	OMIM	cap	
ambras	Ambras		Hypertrichosis universalis congenita, Ambras type	OMIM	cap	
amed	AMED		AMED syndrome, digenic	OMIM	cap	
amegakaryocytic	Amegakaryocytic		Amegakaryocytic thrombocytopenia, congenital, 1; Amegakaryocytic thrombocytopenia, congenital, 2	OMIM	lower	
amelia	Amelia		Amelia, posterior, with pelvic and pulmonary hypoplasia s...	OMIM	lower	
amelogenesis	Amelogenesis		Amelogenesis imperfecta, type IA; Amelogenesis imperfecta, type IH; Amelogenesis imperfecta, type IIIB	OMIM	lower	
american	American		North American Indian childhood cirrhosis	OMIM	cap	
amiel	Amiel		Chopra-Amiel-Gordon syndrome	OMIM	cap	
aminoacylase	Aminoacylase		Aminoacylase 1 deficiency	OMIM	lower	
amish	Amish		Microcephaly, Amish type	OMIM	cap	
amme	AMME		AMME complex	OMIM	cap	
amp	AMP		AMP deaminase deficiency, erythrocytic	OMIM	cap	
