word_lower	word_cap	alt_caps	examples	source	status	notes
dyserythropoietic	Dyserythropoietic		Dyserythropoietic anemia, congenital, type Ib; Dyserythropoietic anemia, congenital, type Ia; Dyserythropoietic anemia, congenital, type II	OMIM	lower	
dysfibrinogenemia	Dysfibrinogenemia		Dysfibrinogenemia, congenital	OMIM	lower	
dyskeratosis	Dyskeratosis		Dyskeratosis congenita, autosomal recessive 8; Dyskeratosis congenita, autosomal dominant 1; Dyskeratosis, hereditary benign intraepithelial	OMIM	lower	
dyskinesia	Dyskinesia		Dyskinesia with orofacial involvement, autosomal dominant; Dyskinesia with orofacial involvement, autosomal recessive; Dyskinesia, limb and orofacial, infantile-onset	OMIM	lower	
dyslexia	Dyslexia		Dyslexia, susceptibility to, 8; Dyslexia, susceptibility to, 3; Dyslexia, susceptibility to, 5	OMIM	lower	
dysostosis	Dysostosis		Dysostosis multiplex, Ain-Naz type	OMIM	lower	
dyssegmental	Dyssegmental		Dyssegmental dysplasia, Silverman-Handmaker type	OMIM	lower	
dystonia	Dystonia		Dystonia 13, torsion; Dystonia, childhood-onset, with optic atrophy and basal g...; Dystonia 2, torsion, autosomal recessive	OMIM	lower	
dystransthyretinemic	Dystransthyretinemic		Dystransthyretinemic hyperthyroxinemia	OMIM	lower	
ectodermal	Ectodermal		Ectodermal dysplasia 12, hypohidrotic/hair/tooth/nail type; Ectodermal dysplasia-syndactyly syndrome 1; Ectodermal dysplasia/skin fragility syndrome	OMIM	lower	
ectopia	Ectopia		Ectopia lentis et pupillae; Ectopia lentis, isolated, autosomal recessive; Ectopia lentis, familial	OMIM	lower	
ectrodactyly	Ectrodactyly		Ectrodactyly, ectodermal dysplasia, and cleft lip/palate ...	OMIM	lower	
eculizumab	Eculizumab		Eculizumab, poor response to	OMIM	lower	
edict	EDICT		EDICT syndrome	OMIM	cap	
efavirenz	Efavirenz		Efavirenz central nervous system toxicity, susceptibility to; Efavirenz, poor metabolism of	OMIM	cap	
ehlers	Ehlers		Ehlers-Danlos syndrome, spondylodysplastic type, 2; Ehlers-Danlos syndrome, kyphoscoliotic type, 1; Ehlers-Danlos syndrome, vascular type	OMIM	cap	
eiken	Eiken		Eiken syndrome	OMIM	cap	
elahi	Elahi		Jaberi-Elahi syndrome	OMIM	cap	
electroencephalographic	Electroencephalographic		Electroencephalographic variant pattern 1	OMIM	lower	
elliott	Elliott		Ramond-Elliott neurodevelopmental syndrome	OMIM	cap	
elliptocytosis	Elliptocytosis		Elliptocytosis-1; Elliptocytosis-2; Elliptocytosis-3	OMIM	lower	
ellis	Ellis		Ellis-van Creveld syndrome	OMIM	cap	
elsahy	Elsahy		Elsahy-Waters syndrome	OMIM	cap	
emanuel	Emanuel		Emanuel syndrome	OMIM	cap	
emery	Emery		Emery-Dreifuss muscular dystrophy 3, autosomal recessive; Emery-Dreifuss muscular dystrophy 2, autosomal dominant; Emery-Dreifuss muscular dystrophy 7, AD	OMIM	cap	
emm	EMM		Blood group, EMM system	OMIM	cap	
emphysema	Emphysema		Emphysema due to AAT deficiency; Emphysema-cirrhosis, due to AAT deficiency	OMIM	lower	
encephalitis	Encephalitis		Encephalitis, acute, infection (viral)-induced, susceptib...; Encephalitis/encephalopathy, mild, with reversible myelin...	OMIM	lower	
encephalocraniocutaneous	Encephalocraniocutaneous		Encephalocraniocutaneous lipomatosis, somatic mosaic	OMIM	lower	
encephalopathy	Encephalopathy		Encephalopathy, acute, infection-induced, 4, susceptibili...; Encephalopathy, progressive, early-onset, with brain edem...; Encephalopathy, progressive, with amyotrophy and optic at...	OMIM	lower	
ende	Ende		Van den Ende-Gupta syndrome	OMIM	cap	
endocrine	Endocrine		Endocrine-cerebroosteodysplasia	OMIM	lower	
endocrinopathy	Endocrinopathy		Endocrinopathy due to proprotein convertase 1/3 deficiency	OMIM	lower	
endometrial	Endometrial		Endometrial cancer, familial; Endometrial carcinoma, somatic; Endometrial cancer, susceptibility to	OMIM	lower	
endometriosis	Endometriosis		Endometriosis, susceptibility to, 1	OMIM	lower	
endosteal	Endosteal		Endosteal hyperostosis	OMIM	lower	
endove	ENDOVE		ENDOVE syndrome, limb-only type; ENDOVE syndrome, limb-brain type	OMIM	cap	
engelmann	Engelmann		Camurati-Engelmann disease 2; Camurati-Engelmann disease 1	OMIM	cap	
enhanced	Enhanced		Enhanced S-cone syndrome 2; Enhanced S-cone syndrome 1	OMIM	lower	
enlarged	Enlarged		Enlarged vestibular aqueduct, digenic; Enlarged vestibular aqueduct	OMIM	lower	
enterokinase	Enterokinase		Enterokinase deficiency	OMIM	lower	
enuresis	Enuresis		Enuresis, nocturnal, 2; Enuresis, nocturnal, 1	OMIM	lower	
eosinophil	Eosinophil		Eosinophil peroxidase deficiency	OMIM	lower	
eosinophilia	Eosinophilia		Eosinophilia, familial	OMIM	lower	
epidermal	Epidermal		Epidermal nevus, somatic	OMIM	lower	
epidermodysplasia	Epidermodysplasia		Epidermodysplasia verruciformis, susceptibility to, 3; Epidermodysplasia verruciformis, susceptibility to, 1; Epidermodysplasia verruciformis, susceptibility to, 2	OMIM	lower	
epidermolysis	Epidermolysis		Epidermolysis bullosa, junctional 3B, severe; Epidermolysis bullosa, junctional 3A, intermediate; Epidermolysis bullosa, junctional 1B, severe	OMIM	lower	
epidermolytic	Epidermolytic		Epidermolytic hyperkeratosis 1; Epidermolytic hyperkeratosis 2B, autosomal recessive; Epidermolytic hyperkeratosis 2A, autosomal dominant	OMIM	lower	
epilepsy	Epilepsy		Epilepsy, idiopathic generalized, susceptibility to, 12; Epilepsy, nocturnal frontal lobe, 3; Epilepsy, early-onset, 5, with or without developmental d...	OMIM	lower	
epiphyseal	Epiphyseal		Epiphyseal dysplasia, multiple, 2; Epiphyseal dysplasia, multiple, 5; Epiphyseal dysplasia, multiple, 4	OMIM	lower	
episodic	Episodic		Episodic ataxia, type 8; Episodic ataxia, type 3; Episodic ataxia, type 5	OMIM	lower	
epithelial	Epithelial		Epithelial recurrent erosion dystrophy	OMIM	lower	
epstein	Epstein		Immunodeficiency 134 (Epstein-Barr virus-specific); Immunodeficiency, X-linked, with magnesium defect, Epstei...	OMIM	cap	
erickson	Erickson		Abruzzo-Erickson syndrome	OMIM	cap	
erythermalgia	Erythermalgia		Erythermalgia, primary	OMIM	lower	
erythrocyte	Erythrocyte		Erythrocyte lactate transporter defect	OMIM	lower	
erythrocytosis	Erythrocytosis		Erythrocytosis, familial, 3; Erythrocytosis, familial, 4; Erythrocytosis, familial, 2	OMIM	lower	
erythroderma	Erythroderma		Erythroderma, congenital, with palmoplantar keratoderma, ...	OMIM	lower	
erythrokeratodermia	Erythrokeratodermia		Erythrokeratodermia variabilis et progressiva 2; Erythrokeratodermia variabilis et progressiva 1; Erythrokeratodermia variabilis et progressiva 3	OMIM	lower	
erythroleukemia	Erythroleukemia		?Erythroleukemia, familial, susceptibility to	OMIM	lower	
esch	Esch		Van Esch-O'Driscoll syndrome	OMIM	cap	
escobar	Escobar		Escobar syndrome	OMIM	cap	
esophageal	Esophageal		Esophageal cancer, somatic; Esophageal squamous cell carcinoma, somatic; Esophageal carcinoma, somatic	OMIM	lower	
esophagitis	Esophagitis		Esophagitis, eosinophilic, 2; Esophagitis, eosinophilic, 1	OMIM	lower	
essential	Essential		Essential tremor, hereditary, 2; Essential tremor, hereditary, 1; Essential tremor, hereditary, 3	OMIM	lower	
estrogen	Estrogen		Estrogen resistance	OMIM	lower	
ethylmalonic	Ethylmalonic		Ethylmalonic encephalopathy	OMIM	lower	
even	Even		Even-plus syndrome	OMIM	lower	common word, handle deviations with pattern
ewing	Ewing		Ewing sarcoma	OMIM	cap	
exercise	Exercise		Exercise intolerance, riboflavin-responsive	OMIM	lower	
exfoliation	Exfoliation		Exfoliation syndrome, susceptibility to	OMIM	lower	
exocrine	Exocrine		Exocrine pancreatic insufficiency, dyserythropoietic anem...	OMIM	lower	
exostoses	Exostoses		Exostoses, multiple, type 1; Exostoses, multiple, type 2; Exostoses, multiple, type 3	OMIM	lower	
extraoral	Extraoral		Extraoral halitosis due to MTO deficiency	OMIM	lower	
exudative	Exudative		Exudative vitreoretinopathy 7; Exudative vitreoretinopathy 5; Exudative vitreoretinopathy 3	OMIM	lower	
fabry	Fabry		Fabry disease, cardiac variant; Fabry disease	OMIM	cap	
facial	Facial		Facial paresis, hereditary congenital, 1; Facial paresis, hereditary congenital, 2; Facial dysmorphism, hypertrichosis, epilepsy, intellectua...	OMIM	lower	
facioscapulohumeral	Facioscapulohumeral		Facioscapulohumeral muscular dystrophy 3, digenic; Facioscapulohumeral muscular dystrophy 1; Facioscapulohumeral muscular dystrophy 2, digenic	OMIM	lower	
factor	Factor		Factor V deficiency; Factor XIIIB deficiency; Factor V and factor VIII, combined deficiency of	OMIM	lower	
faden	Faden		Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type	OMIM	cap	
fahrner	Fahrner		Beck-Fahrner syndrome	OMIM	cap	
failure	Failure		Failure of tooth eruption, primary	OMIM	lower	
faivre	Faivre		Thauvin-Robinet-Faivre syndrome	OMIM	cap	
fallot	Fallot		Tetralogy of Fallot	OMIM	cap	
familial	Familial		Familial cold inflammatory syndrome 1; Familial cold autoinflammatory syndrome 4; Familial adenomatous polyposis 4	OMIM	lower	
fanconi	Fanconi		Fanconi anemia, complementation group V; Fanconi anemia, complementation group T; Fanconi anemia, complementation group L	OMIM	cap	
farazi	Farazi		Valence-Farazi cerebellar ataxia syndrome	OMIM	cap	
farber	Farber		Farber lipogranulomatosis	OMIM	cap	
fasting	Fasting		Fasting plasma glucose level QTL 5; Fasting plasma glucose level QTL 1; Fasting plasma glucose level QTL 6	OMIM	lower	
fatty	Fatty		Fatty liver, acute, of pregnancy; Fatty liver disease, protection from; Fatty liver disease, susceptibility to, 2	OMIM	lower	
faundes	Faundes		Faundes-Banka syndrome	OMIM	cap	
fazio	Fazio		Fazio-Londe disease	OMIM	cap	
febrile	Febrile		Febrile seizures, familial, 3A; Febrile seizures, familial, 9; Febrile seizures, familial, 10	OMIM	lower	
feil	Feil		Klippel-Feil syndrome 1, autosomal dominant; Klippel-Feil syndrome 3, autosomal dominant; Klippel-Feil syndrome 2	OMIM	cap	
feingold	Feingold		Feingold syndrome 1; Feingold syndrome 2	OMIM	cap	
ferguson	Ferguson		Ferguson-Bonni neurodevelopmental syndrome	OMIM	cap	
fetal	Fetal		Fetal akinesia, respiratory insufficiency, microcephaly, ...; Fetal hemoglobin QTL5; Fetal akinesia deformation sequence 3	OMIM	lower	
fetomaternal	Fetomaternal		Fetomaternal alloimmune thrombocytopenia 3; Fetomaternal alloimmune thrombocytopenia 2; Fetomaternal alloimmune thrombocytopenia 1	OMIM	lower	
feuerstein	Feuerstein		Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic	OMIM	cap	
fibrochondrogenesis	Fibrochondrogenesis		Fibrochondrogenesis 1; Fibrochondrogenesis 2	OMIM	lower	
fibrodysplasia	Fibrodysplasia		Fibrodysplasia ossificans progressiva	OMIM	lower	
fibromatosis	Fibromatosis		Fibromatosis, gingival, 3; Fibromatosis, gingival, 1; Fibromatosis, gingival, 5	OMIM	lower	
fibromuscular	Fibromuscular		Fibromuscular dysplasia, multifocal	OMIM	lower	
fibrosis	Fibrosis		Fibrosis of extraocular muscles, congenital, 5; Fibrosis of extraocular muscles, congenital, 2; Fibrosis of extraocular muscles, congenital, 3B	OMIM	lower	
ficus	FICUS		FICUS syndrome	OMIM	cap	
filippi	Filippi		Filippi syndrome	OMIM	cap	
fineman	Fineman		Carey-Fineman-Ziter syndrome 2; Carey-Fineman-Ziter syndrome	OMIM	cap	
finkel	Finkel		Spinal muscular atrophy, late-onset, Finkel type	OMIM	cap	
finnish	Finnish		Amyloidosis, Finnish type	OMIM	cap	
fischer	Fischer		Fischer-Zirnsak progeroid syndrome	OMIM	cap	
fish	Fish		Fish-eye disease	OMIM	lower	
fisher	Fisher		Snijders Blok-Fisher syndrome	OMIM	cap	
fleck	Fleck		Fleck retina, familial benign	OMIM	cap	
fliedner	Fliedner		Fliedner-Zweier syndrome	OMIM	cap	
floating	Floating		Floating-Harbor syndrome	OMIM	cap	
fmn	FMN		Triokinase and FMN cyclase deficiency syndrome	OMIM	cap	
focal	Focal		Focal cortical dysplasia, type II, somatic; Focal facial dermal dysplasia 3, Setleis type; Focal segmental glomerulosclerosis 8	OMIM	lower	
folate	Folate		Folate malabsorption, hereditary	OMIM	lower	
follicular	Follicular		Follicular lymphoma, susceptibility to, 1; Follicular lymphoma, susceptibility to, 2	OMIM	lower	
fong	Fong		You-Hoover-Fong syndrome	OMIM	cap	
fontaine	Fontaine		Fontaine progeroid syndrome	OMIM	cap	
forssman	Forssman		Borjeson-Forssman-Lehmann syndrome	OMIM	cap	
forsythe	Forsythe		Forsythe-Wakeling syndrome	OMIM	cap	
fountain	Fountain		Hao-Fountain syndrome	OMIM	cap	
foveal	Foveal		Foveal hypoplasia 3; Foveal hypoplasia 1; Foveal hypoplasia 2, with or without optic nerve misrouti...	OMIM	lower	
fra	FRA		Intellectual developmental disorder, autosomal dominant, ...	OMIM	cap	
fragile	Fragile		Fragile X tremor/ataxia syndrome; Fragile X syndrome	OMIM	lower	
franceschetti	Franceschetti		Naegeli-Franceschetti-Jadassohn syndrome	OMIM	cap	
frank	Frank		Frank-ter Haar syndrome	OMIM	cap	
fraser	Fraser		Fraser syndrome 1; Fraser syndrome 3; Fraser syndrome 2	OMIM	cap	
frasier	Frasier		Frasier syndrome	OMIM	cap	
fraumeni	Fraumeni		Li-Fraumeni syndrome	OMIM	cap	
frias	Frias		Frias syndrome	OMIM	cap	
friedreich	Friedreich		Friedreich ataxia 2; Friedreich ataxia with retained reflexes; Friedreich ataxia	OMIM	cap	
froese	Froese		Blood group, Froese	OMIM	cap	
frontometaphyseal	Frontometaphyseal		Frontometaphyseal dysplasia 2; Frontometaphyseal dysplasia 1	OMIM	lower	
frontonasal	Frontonasal		Frontonasal dysplasia 1; Frontonasal dysplasia 2; Frontonasal dysplasia 3	OMIM	lower	
frontotemporal	Frontotemporal		Frontotemporal lobar degeneration, TARDBP-related; Frontotemporal dementia and/or amyotrophic lateral sclero...; Frontotemporal dementia and/or amyotrophic lateral sclero...	OMIM	lower	
fructose	Fructose		Fructose-1,6-bisphosphatase deficiency; Fructose intolerance, hereditary	OMIM	lower	
fructosuria	Fructosuria		[Fructosuria, essential	OMIM	lower	
fry	Fry		Turnpenny-Fry syndrome	OMIM	cap	
fryns	Fryns		Lujan-Fryns syndrome	OMIM	cap	
fuchs	Fuchs		Corneal dystrophy, Fuchs endothelial, 1; Corneal dystrophy, Fuchs endothelial, 5; Corneal dystrophy, Fuchs endothelial, 7	OMIM	cap	
fucosidosis	Fucosidosis		Fucosidosis	OMIM	lower	
fucosyltransferase	Fucosyltransferase		Fucosyltransferase 6 deficiency	OMIM	lower	
fumarase	Fumarase		Fumarase deficiency	OMIM	lower	
fundus	Fundus		Fundus flavimaculatus; Fundus albipunctatus	OMIM	lower	
gaba	GABA		GABA-transaminase deficiency	OMIM	cap	
gabriele	Gabriele		Gabriele-de Vries syndrome	OMIM	cap	
galactokinase	Galactokinase		Galactokinase deficiency with cataracts	OMIM	lower	
galactose	Galactose		Galactose epimerase deficiency	OMIM	lower	
galactosemia	Galactosemia		Galactosemia IV; Galactosemia	OMIM	lower	
galactosialidosis	Galactosialidosis		Galactosialidosis	OMIM	lower	
gallbladder	Gallbladder		Gallbladder disease 2; Gallbladder disease 3; Gallbladder disease 4	OMIM	lower	
galloway	Galloway		Galloway-Mowat syndrome 10; Galloway-Mowat syndrome 8; Galloway-Mowat syndrome 5	OMIM	cap	
gamma	Gamma		Gamma-glutamyltransferase, familial high serum	OMIM	lower	
gand	GAND		GAND syndrome	OMIM	cap	
gapo	GAPO		GAPO syndrome	OMIM	cap	
gardner	Gardner		Gardner syndrome; Retinal dystrophy, X-linked, Gardner-Hardcastle type	OMIM	cap	
garg	Garg		Garg-Mishra progeroid syndrome	OMIM	cap	
gastric	Gastric		Gastric cancer, somatic; Gastric cancer risk after H. pylori infection; Gastric adenocarcinoma and proximal polyposis of the stomach	OMIM	lower	
gastroesophageal	Gastroesophageal		Gastroesophageal reflux	OMIM	lower	
gastrointestinal	Gastrointestinal		Gastrointestinal stromal tumor; Gastrointestinal ulceration, recurrent, with dysfunctiona...; Gastrointestinal defects and immunodeficiency syndrome	OMIM	lower	
gaucher	Gaucher		Gaucher disease, type II; Gaucher disease, type IIIC; Gaucher disease, type III	OMIM	cap	
gazali	Gazali		Al-Gazali syndrome; Al-Gazali-Bakalinova syndrome	OMIM	cap	
gaze	Gaze		Gaze palsy, familial horizontal, with progressive scolios...; Gaze palsy, familial horizontal, with progressive scolios...	OMIM	lower	
gbbb	GBBB		Opitz GBBB syndrome	OMIM	cap	
geleophysic	Geleophysic		Geleophysic dysplasia 1; Geleophysic dysplasia 3; Geleophysic dysplasia 2	OMIM	lower	
gene	Gene		Gene expression, variation in, QTL	OMIM	lower	
generalized	Generalized		?Generalized epilepsy with febrile seizures plus, type 5,...; Generalized epilepsy with febrile seizures plus, type 4; Generalized epilepsy with febrile seizures plus, type 7	OMIM	lower	
genevieve	Genevieve		Spondyloepimetaphyseal dysplasia, Genevieve type	OMIM	cap	
geniospasm	Geniospasm		Geniospasm	OMIM	lower	
genitopatellar	Genitopatellar		Genitopatellar syndrome	OMIM	lower	
genitourinary	Genitourinary		Genitourinary and/or/brain malformation syndrome	OMIM	lower	
gerbich	Gerbich		Blood group, Gerbich	OMIM	cap	
germ	Germ		Germ cell tumors, somatic	OMIM	lower	
geroderma	Geroderma		Geroderma osteodysplasticum	OMIM	lower	
gerold	Gerold		Baller-Gerold syndrome	OMIM	cap	
gerstmann	Gerstmann		Gerstmann-Straussler disease	OMIM	cap	
ghosal	Ghosal		Ghosal hematodiaphyseal syndrome	OMIM	cap	
giant	Giant		Giant axonal neuropathy 2, autosomal dominant; Giant axonal neuropathy-1; Giant platelet disorder, isolated	OMIM	lower	
gibbs	Gibbs		Xia-Gibbs syndrome	OMIM	cap	
gibson	Gibson		Cohen-Gibson syndrome	OMIM	cap	
giedion	Giedion		Schinzel-Giedion midface retraction syndrome	OMIM	cap	
gil	GIL		Blood group GIL	OMIM	cap	
gilbert	Gilbert		Gilbert syndrome	OMIM	cap	
gilford	Gilford		Hutchinson-Gilford progeria	OMIM	cap	
gilles	Gilles		Gilles de la Tourette syndrome, susceptibility to	OMIM	cap	
gillespie	Gillespie		Gillespie syndrome	OMIM	cap	
gillessen	Gillessen		Gillessen-Kaesbach-Nishimura syndrome	OMIM	cap	
gist	GIST		Gastrointestinal stromal tumor/GIST-plus syndrome, somati...	OMIM	cap	
gistelinck	Gistelinck		Osteochondrodysplasia, complex lethal, Symoens-Barnes-Gis...	OMIM	cap	
gitelman	Gitelman		Gitelman syndrome	OMIM	cap	
glanzmann	Glanzmann		Glanzmann thrombasthenia 1; Glanzmann thrombasthenia 2	OMIM	cap	
glass	Glass		Glass syndrome	OMIM	lower	common word, handle deviations with pattern
glaucoma	Glaucoma		Glaucoma 3, primary infantile, B; Glaucoma 1A, primary open angle; Glaucoma 3A, primary open angle, congenital, juvenile, or...	OMIM	lower	
glioblastoma	Glioblastoma		Glioblastoma 3; Glioblastoma, somatic	OMIM	lower	
glioma	Glioma		Glioma, susceptibility to, somatic; Glioma susceptibility 8; Glioma susceptibility 7	OMIM	lower	
global	Global		Global developmental delay, progressive ataxia, and eleva...; Global developmental delay, absent or hypoplastic corpus ...; Global developmental delay with speech and behavioral abn...	OMIM	lower	
glomerulopathy	Glomerulopathy		Glomerulopathy with fibronectin deposits 1; Glomerulopathy with fibronectin deposits 2	OMIM	lower	
glomerulosclerosis	Glomerulosclerosis		Glomerulosclerosis, focal segmental, 3; Glomerulosclerosis, focal segmental, 7; Glomerulosclerosis, focal segmental, 2	OMIM	lower	
glomuvenous	Glomuvenous		Glomuvenous malformations	OMIM	lower	
glucocorticoid	Glucocorticoid		Glucocorticoid deficiency 4, with or without mineralocort...; Glucocorticoid resistance; Glucocorticoid therapy, response to	OMIM	lower	
glucose	Glucose		Glucose/galactose malabsorption	OMIM	lower	
glut	GLUT		GLUT1 deficiency syndrome 1, infantile onset, severe; GLUT1 deficiency syndrome 2, childhood onset	OMIM	cap	
glutamate	Glutamate		Glutamate formiminotransferase deficiency	OMIM	lower	
glutamine	Glutamine		Glutamine deficiency, congenital	OMIM	lower	
glutaric	Glutaric		Glutaric acidemia IIC; Glutaric aciduria III; Glutaric acidemia IIA	OMIM	lower	
glutathione	Glutathione		Glutathione synthetase deficiency	OMIM	lower	
glycerol	Glycerol		Glycerol quantitative trait locus; Glycerol kinase deficiency	OMIM	lower	
glycine	Glycine		Glycine encephalopathy with normal serum glycine; Glycine encephalopathy 2; Glycine N-methyltransferase deficiency	OMIM	lower	
glycogen	Glycogen		Glycogen storage disease IIIa; Glycogen storage disease IIIb; Glycogen storage disease IV	OMIM	lower	
glycosylphosphatidylinositol	Glycosylphosphatidylinositol		Glycosylphosphatidylinositol deficiency; Glycosylphosphatidylinositol biosynthesis defect 16; Glycosylphosphatidylinositol biosynthesis defect 15	OMIM	lower	
glyoxalase	Glyoxalase		Glyoxalase II deficiency	OMIM	lower	
gnathodiaphyseal	Gnathodiaphyseal		Gnathodiaphyseal dysplasia	OMIM	lower	
goiter	Goiter		Goiter, multinodular, 3; Goiter, multinodular 1, with or without Sertoli-Leydig ce...; Goiter, multinodular, 2	OMIM	lower	
golabi	Golabi		Simpson-Golabi-Behmel syndrome, type 2; Simpson-Golabi-Behmel syndrome, type 1	OMIM	cap	
goldberg	Goldberg		Shprintzen-Goldberg syndrome; Goldberg-Shprintzen megacolon syndrome	OMIM	cap	
gordon	Gordon		Chopra-Amiel-Gordon syndrome; Baker-Gordon syndrome; Guillouet-Gordon syndrome	OMIM	cap	
gorlin	Gorlin		Meier-Gorlin syndrome 1; Meier-Gorlin syndrome 2; Meier-Gorlin syndrome 6	OMIM	cap	
gout	Gout		Gout susceptibility 4; Gout, PRPS-related	OMIM	lower	
goutieres	Goutieres		Aicardi-Goutieres syndrome 6; Aicardi-Goutieres syndrome 7; Aicardi-Goutieres syndrome 1, dominant and recessive	OMIM	cap	
gpapp	GPAPP		Chondrodysplasia with joint dislocations, GPAPP type	OMIM	cap	
gpr	GPR		Usher syndrome, type 2C, GPR98/PDZD7 digenic; Usher syndrome, type IIC, GPR98/PDZD7 digenic	OMIM	cap	
gracile	GRACILE	GRACILE (1); Gracile (1)	GRACILE syndrome; Gracile bone dysplasia	OMIM	lower	handle capitalization with pattern
graft	Graft		Graft-versus-host disease, protection against	OMIM	lower	
grange	Grange		Grange syndrome	OMIM	cap	
granulomatosis	Granulomatosis		Granulomatosis with polyangiitis	OMIM	lower	
grasbeck	Grasbeck		Imerslund-Grasbeck syndrome 1; Imerslund-Grasbeck syndrome 2	OMIM	cap	
graves	Graves		Graves disease, susceptibility to, 1; Graves disease, susceptibility to, 2; Graves disease, susceptibility to, X-linked	OMIM	cap	
gray	Gray		Gray platelet syndrome	OMIM	lower	
greenberg	Greenberg		Greenberg skeletal dysplasia	OMIM	cap	
greig	Greig		Greig cephalopolysyndactyly syndrome	OMIM	cap	
gripp	Gripp		Ayme-Gripp syndrome	OMIM	cap	
griscelli	Griscelli		Griscelli syndrome, type 3; Griscelli syndrome, type 1; Griscelli syndrome, type 2	OMIM	cap	
groenouw	Groenouw		Corneal dystrophy, Groenouw type I	OMIM	cap	
growth	Growth		Growth hormone deficiency with pituitary anomalies; Growth hormone deficiency, isolated partial; Growth hormone insensitivity, partial	OMIM	lower	
guillermo	Guillermo		Nestor-Guillermo progeria syndrome	OMIM	cap	
guillouet	Guillouet		Guillouet-Gordon syndrome	OMIM	cap	
guion	Guion		Mandibulofacial dysostosis, Guion-Almeida type	OMIM	cap	
guo	Guo		Spondyloepimetaphyseal dysplasia, Guo-Campeau type	OMIM	cap	
gupta	Gupta		Van den Ende-Gupta syndrome	OMIM	cap	
gustavson	Gustavson		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
gyrate	Gyrate		Gyrate atrophy of choroid and retina with or without orni...	OMIM	lower	
haaften	Haaften		Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 1; Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 3; Tessadori-Bicknell-van Haaften neurodevelopmental syndrome 4	OMIM	cap	
haar	Haar		Frank-ter Haar syndrome	OMIM	cap	
hagen	Hagen		Blood group, John-Milton-Hagen system	OMIM	cap	
haghshenas	Haghshenas		Karayol-Borroto-Haghshenas neurodevelopmental syndrome	OMIM	cap	
hailey	Hailey		Hailey-Hailey disease	OMIM	cap	
haim	Haim		Haim-Munk syndrome	OMIM	cap	
hair	Hair		Hair, curly; Hair morphology 1, hair thickness	OMIM	lower	
hairy	Hairy		Hairy ears, Y-linked	OMIM	lower	
hajdu	Hajdu		Hajdu-Cheney syndrome	OMIM	cap	
hall	Hall		Pallister-Hall syndrome; Pallister-Hall-like syndrome; Arthrogryposis, distal, type 2B3 (Sheldon-Hall)	OMIM	lower	
halperin	Halperin		Halperin-Birk syndrome	OMIM	lower	
hamamy	Hamamy		Hamamy syndrome	OMIM	cap	
hand	Hand		Hand-foot-genital syndrome	OMIM	lower	
handmaker	Handmaker		Dyssegmental dysplasia, Silverman-Handmaker type	OMIM	cap	
hao	Hao		Hao-Fountain syndrome	OMIM	cap	
harbor	Harbor		Floating-Harbor syndrome	OMIM	cap	
hardcastle	Hardcastle		Retinal dystrophy, X-linked, Gardner-Hardcastle type	OMIM	cap	
harderoporphyria	Harderoporphyria		Harderoporphyria	OMIM	lower	
hardikar	Hardikar		Hardikar syndrome	OMIM	cap	
harel	Harel		Harel-Yoon syndrome; Buratti-Harel syndrome; Yuan-Harel-Lupski syndrome	OMIM	cap	
harris	Harris		Alsahan-Harris syndrome	OMIM	cap	
hartnup	Hartnup		Hartnup disorder	OMIM	cap	
hartsfield	Hartsfield		Hartsfield syndrome	OMIM	cap	
hashimoto	Hashimoto		Hashimoto thyroiditis	OMIM	cap	
hatipoglu	Hatipoglu		Hatipoglu immunodeficiency syndrome	OMIM	cap	
hattab	Hattab		Suleiman-El-Hattab syndrome	OMIM	cap	
hawkinsinuria	Hawkinsinuria		Hawkinsinuria	OMIM	cap	
hayek	Hayek		El Hayek-Chahrour neurodevelopmental syndrome	OMIM	cap	
hayward	Hayward		Juberg-Hayward syndrome	OMIM	cap	
hearing	Hearing		?Hearing loss, cisplatin-induced, susceptibility to	OMIM	lower	
heart	Heart		Heart-hand syndrome, Slovenian type; Heart block, progressive, type IA; Heart block, nonprogressive	OMIM	lower	
hedera	Hedera		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
heimler	Heimler		Heimler syndrome 2; Heimler syndrome 1	OMIM	cap	
heinz	Heinz		Heinz body anemia; Heinz body anemias, alpha-	OMIM	cap	
helix	HELIX		HELIX syndrome	OMIM	cap	may need to allow lowercase = common word; not yet aware of any common use
hellp	HELLP		HELLP syndrome, maternal, of pregnancy	OMIM	cap	
helsmoortel	Helsmoortel		Helsmoortel-van der Aa syndrome	OMIM	cap	
hemangioma	Hemangioma		?Hemangioma, capillary infantile, susceptibility to; Hemangioma, capillary infantile, susceptibility to; Hemangioma, capillary infantile, somatic	OMIM	lower	
hematocrit	Hematocrit		Hematocrit/hemoglobin quantitative trait locus 1; Hematocrit/hemoglobin quantitative trait locus 2; Hematocrit/hemoglobin quantitative trait locus 3	OMIM	lower	
hematuria	Hematuria		Hematuria, familial benign, 1; Hematuria, benign familial, 2	OMIM	lower	
heme	Heme		Heme oxygenase-1 deficiency	OMIM	lower	
hemifacial	Hemifacial		Hemifacial myohyperplasia, somatic	OMIM	lower	
